"screen","engine","variant","screenshot","gap","error","ACCESS-008","TOUCH-003","INPUT-010","INPUT-006 / ACCESS-003","ACTION-007 / ACTION-008","LAYOUT-013 / LAYOUT-014","DATA-003/004 · LAYOUT-003","FEEDBACK-011"
"S-15","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-15.png","locator.waitFor: Timeout 4000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-15","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-15.png","locator.waitFor: Timeout 4000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-15","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-15.png","locator.waitFor: Timeout 4000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-15","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-15.png","locator.waitFor: Timeout 4000ms exceeded.","","U","U","U","U","U","U","U","U"
"S-16","chromium","390x844-light","screenshots/chromium/390x844-light/S-16.png","","","PASS","FAIL","PASS","FAIL","NA","PASS","NA","NA"
"S-16","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-16.png","","","PASS","FAIL","PASS","FAIL","NA","PASS","NA","NA"
"S-16","chromium","844x390-light","screenshots/chromium/844x390-light/S-16.png","","","PASS","FAIL","PASS","FAIL","NA","FAIL","NA","NA"
"S-16","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-16.png","","","PASS","FAIL","PASS","FAIL","NA","FAIL","NA","NA"
"S-16","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-16.png","","","PASS","FAIL","PASS","FAIL","NA","PASS","NA","NA"
"S-16","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-16.png","","","PASS","FAIL","PASS","FAIL","NA","PASS","NA","NA"
"S-16","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-16.png","","","PASS","FAIL","PASS","FAIL","NA","PASS","NA","NA"
"S-16","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-16.png","","","PASS","FAIL","PASS","FAIL","NA","PASS","NA","NA"
"S-17","chromium","390x844-light","screenshots/chromium/390x844-light/S-17.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-17","chromium","390x844-dark","screenshots/chromium/390x844-dark/S-17.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-17","chromium","844x390-light","screenshots/chromium/844x390-light/S-17.png","","","PASS","FAIL","NA","FAIL","NA","FAIL","PASS","NA"
"S-17","chromium","844x390-dark","screenshots/chromium/844x390-dark/S-17.png","","","PASS","FAIL","NA","FAIL","NA","FAIL","PASS","NA"
"S-17","chromium","768x1024-light","screenshots/chromium/768x1024-light/S-17.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-17","chromium","768x1024-dark","screenshots/chromium/768x1024-dark/S-17.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-17","chromium","1280x800-light","screenshots/chromium/1280x800-light/S-17.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
"S-17","chromium","1280x800-dark","screenshots/chromium/1280x800-dark/S-17.png","","","PASS","FAIL","NA","FAIL","NA","PASS","PASS","NA"
